"","ano","municipio","populacao","homicidio","gastos_educacao","renda_setor_formal","gastos_seguranca_publica"
"350",2017,"São João Nepomuceno",26273,22.84,507.51,1440.61,2.34
"351",2017,"Antônio Dias",9541,20.96,677.62,1825.94,8.77
"352",2017,"Munhoz",6199,32.27,527.24,1527.86,6.64
"353",2017,"Piedade dos Gerais",4931,20.28,582.87,1520.94,11.47
"354",2017,"Japonvar",8596,23.27,570.35,1093.86,2.92
"355",2017,"Alfenas",78911,3.8,590.44,2435.41,4.08
"356",2017,"Coronel Fabriciano",109224,16.48,468.82,1715.43,0.18
"357",2017,"Conceição da Barra de Minas",4010,24.94,600,1617.53,7.31
"358",2017,"Taiobeiras",33486,26.88,367.07,1426.79,3.73
"359",2017,"Itaobim",21344,65.59,500.75,1415.75,6.49
"360",2017,"Jequitaí",7811,51.21,584.19,1574.64,3.66
"361",2017,"Passa Quatro",16306,12.27,340.09,1707.44,2.27
"362",2017,"Pedras de Maria da Cruz",11282,8.86,458.9,1344.62,0.62
"363",2017,"Taparuba",3164,63.21,726.58,1370.34,10.9
"364",2017,"Itapeva",9522,21,1193.39,1844.91,6.28
"365",2017,"Santa Cruz de Minas",8462,47.27,212.91,1414.89,4.94
"366",2017,"Campo do Meio",11759,17.01,529.8,1423.99,4.5
"367",2017,"Itueta",6059,16.5,637.99,1568.51,4.57
"368",2017,"Montalvânia",15447,12.95,316.01,1392.77,2.49
"369",2017,"Divino das Laranjeiras",5035,19.86,425.46,1250.87,3.2
"370",2017,"Águas Vermelhas",13440,22.32,377.45,1375.39,2.4
"371",2017,"Minas Novas",31689,18.93,512.17,1447.93,1.56
"372",2017,"Lagoa Santa",61135,40.89,781.57,2431.12,9.85
"373",2017,"Santana do Manhuaçu",8765,11.41,423.88,1272.98,2.9
"374",2017,"Monte Sião",23210,4.31,745.96,1605.7,3.55
"375",2017,"Novo Oriente de Minas",10761,18.59,507.08,1666.38,2.31
"376",2017,"Barroso",20674,9.67,500.72,1742.91,1.97
"377",2017,"Morro do Pilar",3306,151.25,436.85,1562.41,2.69
"378",2017,"Manhuaçu",87695,15.96,407.2,1732.3,2.78
"379",2017,"Nova Era",17814,22.45,505.85,1997.35,9.42
"380",2017,"Matutina",3808,52.53,657.27,1522,5.2
"381",2017,"Alterosa",14406,6.94,589.42,1456.29,6.05
"382",2017,"Nova Resende",16479,12.14,620.02,1650.24,7.57
"383",2017,"Leopoldina",52821,15.15,460.31,1564.07,6.53
"384",2017,"Nova Serrana",93735,24.54,612.01,1702,2.33
